
0it [00:00, ?it/s]
40it [00:00, 396.02it/s]
100it [00:00, 440.94it/s]
155it [00:00, 467.37it/s]
209it [00:00, 485.57it/s]
265it [00:00, 504.16it/s]
323it [00:00, 523.84it/s]
380it [00:00, 535.93it/s]
442it [00:00, 557.61it/s]
497it [00:00, 541.59it/s]
558it [00:01, 559.51it/s]
614it [00:01, 553.55it/s]
669it [00:01, 539.75it/s]
728it [00:01, 551.49it/s]
785it [00:01, 555.30it/s]
848it [00:01, 573.67it/s]
906it [00:01, 527.45it/s]
962it [00:01, 534.86it/s]
1021it [00:01, 548.46it/s]
1080it [00:01, 559.89it/s]
1137it [00:02, 547.71it/s]
1193it [00:02, 550.32it/s]
1249it [00:02, 547.09it/s]
1304it [00:02, 533.99it/s]
1362it [00:02, 544.57it/s]
1423it [00:02, 558.56it/s]
1485it [00:02, 574.86it/s]
1545it [00:02, 580.75it/s]
1605it [00:02, 583.46it/s]
1664it [00:03, 567.95it/s]
1721it [00:03, 564.82it/s]
1783it [00:03, 579.36it/s]
1842it [00:03, 562.74it/s]
1899it [00:03, 564.25it/s]
1958it [00:03, 570.14it/s]
2016it [00:03, 570.46it/s]
2074it [00:03, 572.52it/s]
2137it [00:03, 588.14it/s]
2196it [00:03, 543.77it/s]
2253it [00:04, 549.09it/s]
2312it [00:04, 559.65it/s]
2371it [00:04, 558.61it/s]
2430it [00:04, 566.14it/s]
2493it [00:04, 583.14it/s]
2552it [00:04, 575.82it/s]
2610it [00:04, 575.66it/s]
2668it [00:04, 540.19it/s]
2723it [00:04, 536.06it/s]
2779it [00:04, 542.10it/s]
2834it [00:05, 543.65it/s]
2889it [00:05, 541.91it/s]
2944it [00:05, 538.27it/s]
3008it [00:05, 565.03it/s]
3071it [00:05, 581.83it/s]
3130it [00:05, 570.07it/s]
3193it [00:05, 585.38it/s]
3252it [00:05, 578.94it/s]
3311it [00:05, 580.78it/s]
3370it [00:06, 578.05it/s]
3428it [00:06, 561.48it/s]
3485it [00:06, 540.00it/s]
3543it [00:06, 550.70it/s]
3599it [00:06, 547.86it/s]
3654it [00:06, 537.57it/s]
3717it [00:06, 561.66it/s]
3774it [00:06, 548.85it/s]
3833it [00:06, 560.35it/s]
3897it [00:06, 579.96it/s]
3956it [00:07, 582.77it/s]
4015it [00:07, 579.56it/s]
4074it [00:07, 558.06it/s]
4131it [00:07, 536.35it/s]
4187it [00:07, 542.43it/s]
4242it [00:07, 543.07it/s]
4297it [00:07, 533.87it/s]
4357it [00:07, 551.21it/s]
4416it [00:07, 560.31it/s]
4476it [00:08, 569.77it/s]
4534it [00:08, 568.31it/s]
4595it [00:08, 578.25it/s]
4653it [00:08, 566.31it/s]
4710it [00:08, 557.76it/s]
4766it [00:08, 548.90it/s]
4822it [00:08, 552.13it/s]
4878it [00:08, 538.55it/s]
4935it [00:08, 546.50it/s]
4993it [00:08, 555.44it/s]
5049it [00:09, 551.96it/s]
5105it [00:09, 548.45it/s]
5168it [00:09, 570.15it/s]
5232it [00:09, 587.57it/s]
5292it [00:09, 572.39it/s]
5350it [00:09, 572.96it/s]
5408it [00:09, 555.61it/s]
5464it [00:09, 541.64it/s]
5519it [00:09, 513.21it/s]
5571it [00:10, 508.26it/s]
5624it [00:10, 512.44it/s]
5684it [00:10, 533.52it/s]
5740it [00:10, 540.65it/s]
5797it [00:10, 546.31it/s]
5852it [00:10, 527.52it/s]
5906it [00:10, 507.74it/s]
5963it [00:10, 524.91it/s]
6017it [00:10, 528.84it/s]
6076it [00:10, 544.83it/s]
6131it [00:11, 533.27it/s]
6185it [00:11, 529.45it/s]
6241it [00:11, 538.08it/s]
6295it [00:11, 523.61it/s]
6350it [00:11, 530.90it/s]
6404it [00:11, 518.71it/s]
6464it [00:11, 539.22it/s]
6519it [00:11, 537.45it/s]
6579it [00:11, 554.69it/s]
6635it [00:11, 556.00it/s]
6694it [00:12, 563.93it/s]
6751it [00:12, 552.13it/s]
6807it [00:12, 546.97it/s]
6862it [00:12, 547.20it/s]
6917it [00:12, 526.49it/s]
6971it [00:12, 529.40it/s]
7025it [00:12, 530.15it/s]
7079it [00:12, 530.15it/s]
7137it [00:12, 542.20it/s]
7192it [00:13, 538.71it/s]
7251it [00:13, 553.12it/s]
7309it [00:13, 560.18it/s]
7369it [00:13, 570.81it/s]
7427it [00:13, 570.77it/s]
7485it [00:13, 560.88it/s]
7542it [00:13, 558.63it/s]
7598it [00:13, 529.22it/s]
7652it [00:13, 528.36it/s]
7706it [00:13, 510.28it/s]
7763it [00:14, 525.21it/s]
7824it [00:14, 546.56it/s]
7880it [00:14, 546.36it/s]
