
0it [00:00, ?it/s]
4it [00:00, 39.44it/s]
9it [00:00, 40.74it/s]
13it [00:00, 40.51it/s]
17it [00:00, 39.63it/s]
21it [00:00, 33.56it/s]
24it [00:00, 32.20it/s]
29it [00:00, 34.36it/s]
34it [00:00, 35.85it/s]
38it [00:01, 36.10it/s]
42it [00:01, 33.79it/s]
46it [00:01, 32.27it/s]
51it [00:01, 36.02it/s]
55it [00:01, 34.97it/s]
59it [00:01, 33.29it/s]
63it [00:01, 34.31it/s]
67it [00:01, 34.94it/s]
71it [00:02, 33.21it/s]
75it [00:02, 33.06it/s]
80it [00:02, 34.61it/s]
84it [00:02, 34.65it/s]
88it [00:02, 34.06it/s]
92it [00:02, 34.46it/s]
96it [00:02, 27.58it/s]
100it [00:02, 29.96it/s]
104it [00:03, 28.82it/s]
108it [00:03, 30.03it/s]
113it [00:03, 33.35it/s]
117it [00:03, 33.71it/s]
121it [00:03, 32.85it/s]
125it [00:03, 32.70it/s]
130it [00:03, 34.13it/s]
134it [00:03, 33.51it/s]
138it [00:04, 30.74it/s]
144it [00:04, 35.39it/s]
148it [00:04, 25.01it/s]
152it [00:04, 26.92it/s]
157it [00:04, 30.59it/s]
161it [00:04, 31.43it/s]
165it [00:05, 27.17it/s]
170it [00:05, 30.21it/s]
176it [00:05, 31.67it/s]
180it [00:05, 14.18it/s]
185it [00:06, 17.78it/s]
189it [00:06, 21.32it/s]
193it [00:06, 24.23it/s]
199it [00:06, 28.90it/s]
203it [00:06, 31.36it/s]
207it [00:06, 33.05it/s]
211it [00:06, 24.52it/s]
216it [00:06, 28.67it/s]
220it [00:07, 29.24it/s]
225it [00:07, 31.50it/s]
230it [00:07, 34.34it/s]
236it [00:07, 34.06it/s]
240it [00:08,  8.20it/s]
245it [00:09, 10.61it/s]
248it [00:09, 12.54it/s]
251it [00:09, 12.61it/s]
255it [00:09, 15.48it/s]
259it [00:09, 18.20it/s]
263it [00:09, 20.77it/s]
266it [00:09, 22.30it/s]
271it [00:10, 25.76it/s]
275it [00:10, 28.42it/s]
279it [00:10, 30.65it/s]
284it [00:10, 33.80it/s]
288it [00:10, 34.76it/s]
292it [00:11,  7.70it/s]
296it [00:12, 10.14it/s]
300it [00:12, 12.92it/s]
304it [00:12, 16.08it/s]
309it [00:12, 19.99it/s]
314it [00:12, 23.83it/s]
319it [00:12, 27.58it/s]
324it [00:12, 25.84it/s]
328it [00:12, 27.72it/s]
332it [00:13, 28.09it/s]
336it [00:13, 24.60it/s]
341it [00:13, 28.08it/s]
345it [00:14,  9.50it/s]
348it [00:14,  8.48it/s]
353it [00:15, 11.12it/s]
357it [00:15, 13.91it/s]
362it [00:15, 17.48it/s]
368it [00:15, 21.82it/s]
373it [00:15, 26.02it/s]
378it [00:15, 20.11it/s]
382it [00:16, 15.27it/s]
385it [00:16, 13.61it/s]
389it [00:16, 16.60it/s]
393it [00:16, 19.67it/s]
400it [00:16, 24.60it/s]
405it [00:17, 28.13it/s]
409it [00:17, 30.35it/s]
413it [00:17, 13.75it/s]
416it [00:17, 15.56it/s]
419it [00:18, 18.12it/s]
422it [00:18, 20.40it/s]
426it [00:18, 23.74it/s]
430it [00:18, 25.62it/s]
436it [00:18, 30.64it/s]
441it [00:18, 33.17it/s]
446it [00:18, 34.33it/s]
450it [00:18, 28.13it/s]
454it [00:19, 29.62it/s]
458it [00:19, 31.73it/s]
462it [00:19, 33.25it/s]
467it [00:19, 35.77it/s]
472it [00:19, 37.45it/s]
476it [00:19, 36.27it/s]
480it [00:20,  8.74it/s]
486it [00:20, 11.63it/s]
491it [00:21, 14.83it/s]
495it [00:21, 17.61it/s]
500it [00:21, 21.35it/s]
505it [00:21, 25.49it/s]
509it [00:21, 27.15it/s]
513it [00:21, 29.42it/s]
517it [00:21, 31.63it/s]
521it [00:21, 33.12it/s]
525it [00:22, 31.53it/s]
529it [00:22, 30.95it/s]
533it [00:22, 30.37it/s]
538it [00:22, 33.35it/s]
542it [00:22, 34.96it/s]
546it [00:23,  8.38it/s]
551it [00:23, 11.11it/s]
555it [00:24, 13.83it/s]
559it [00:24, 17.08it/s]
563it [00:24, 18.62it/s]
567it [00:24, 21.69it/s]
571it [00:24, 23.86it/s]
575it [00:24, 26.52it/s]
580it [00:24, 30.14it/s]
585it [00:24, 33.70it/s]
589it [00:25, 34.93it/s]
594it [00:25, 35.99it/s]
598it [00:25, 36.56it/s]
602it [00:25, 33.19it/s]
606it [00:25, 30.69it/s]
610it [00:26,  8.38it/s]
616it [00:26, 11.26it/s]
620it [00:27, 13.86it/s]
624it [00:27, 16.90it/s]
629it [00:27, 20.78it/s]
633it [00:27, 23.39it/s]
639it [00:27, 27.20it/s]
643it [00:27, 29.77it/s]
647it [00:27, 31.19it/s]
651it [00:27, 32.26it/s]
656it [00:28, 34.26it/s]
660it [00:28, 12.32it/s]
663it [00:29,  6.36it/s]
667it [00:29,  8.48it/s]
670it [00:30, 10.75it/s]
673it [00:30, 13.25it/s]
677it [00:30, 16.38it/s]
681it [00:30, 19.22it/s]
686it [00:30, 23.23it/s]
691it [00:30, 25.98it/s]
695it [00:30, 26.98it/s]
699it [00:30, 28.54it/s]
704it [00:31, 31.48it/s]
708it [00:31, 33.31it/s]
712it [00:31, 33.18it/s]
717it [00:31, 35.70it/s]
721it [00:32,  8.65it/s]
724it [00:32,  9.36it/s]
728it [00:33, 11.94it/s]
732it [00:33, 13.95it/s]
737it [00:33, 17.41it/s]
741it [00:33, 20.40it/s]
745it [00:33, 21.87it/s]
748it [00:33, 23.06it/s]
751it [00:33, 24.40it/s]
755it [00:33, 26.72it/s]
759it [00:34, 28.77it/s]
