
0it [00:00, ?it/s]
101it [00:00, 1005.57it/s]
198it [00:00, 993.91it/s] 
298it [00:00, 992.98it/s]
396it [00:00, 988.95it/s]
494it [00:00, 983.10it/s]
592it [00:00, 981.08it/s]
691it [00:00, 981.03it/s]
789it [00:00, 979.66it/s]
888it [00:00, 980.35it/s]
990it [00:01, 990.77it/s]
1091it [00:01, 993.80it/s]
1192it [00:01, 998.18it/s]
1294it [00:01, 1002.19it/s]
1394it [00:01, 996.26it/s] 
1495it [00:01, 1000.10it/s]
1596it [00:01, 1001.21it/s]
1696it [00:01, 996.95it/s] 
1801it [00:01, 1009.39it/s]
1902it [00:01, 1004.60it/s]
2003it [00:02, 1006.06it/s]
2104it [00:02, 991.21it/s] 
2204it [00:02, 988.18it/s]
2305it [00:02, 992.21it/s]
2407it [00:02, 997.74it/s]
2511it [00:02, 1008.93it/s]
2615it [00:02, 1016.11it/s]
2717it [00:02, 1016.40it/s]
2820it [00:02, 1019.81it/s]
2923it [00:02, 1016.93it/s]
3029it [00:03, 1029.36it/s]
3133it [00:03, 1031.96it/s]
3237it [00:03, 1023.38it/s]
3340it [00:03, 1019.81it/s]
3443it [00:03, 1018.81it/s]
3546it [00:03, 1019.29it/s]
3648it [00:03, 1014.46it/s]
3750it [00:03, 1010.63it/s]
3852it [00:03, 1012.62it/s]
3954it [00:03, 1000.26it/s]
4057it [00:04, 1006.90it/s]
4158it [00:04, 996.55it/s] 
4258it [00:04, 980.54it/s]
4357it [00:04, 980.76it/s]
4456it [00:04, 968.98it/s]
4556it [00:04, 975.88it/s]
4654it [00:04, 972.89it/s]
4752it [00:04, 968.54it/s]
4849it [00:04, 966.24it/s]
4949it [00:04, 973.29it/s]
5047it [00:05, 972.82it/s]
5145it [00:05, 969.51it/s]
5242it [00:05, 961.73it/s]
5341it [00:05, 969.59it/s]
5438it [00:05, 945.66it/s]
5539it [00:05, 961.55it/s]
5637it [00:05, 965.31it/s]
5734it [00:05, 942.15it/s]
5835it [00:05, 959.59it/s]
5936it [00:05, 973.19it/s]
6036it [00:06, 980.77it/s]
6137it [00:06, 988.73it/s]
6237it [00:06, 991.89it/s]
6341it [00:06, 1003.85it/s]
6442it [00:06, 995.22it/s] 
6542it [00:06, 994.69it/s]
6642it [00:06, 993.23it/s]
6742it [00:06, 995.13it/s]
