
0it [00:00, ?it/s]
37it [00:00, 298.52it/s]
102it [00:00, 356.18it/s]
200it [00:00, 440.11it/s]
259it [00:00, 471.92it/s]
350it [00:00, 551.01it/s]
477it [00:00, 663.68it/s]
599it [00:00, 768.32it/s]
714it [00:00, 853.19it/s]
835it [00:00, 924.79it/s]
982it [00:01, 1039.89it/s]
1117it [00:01, 1115.89it/s]
1240it [00:01, 1139.07it/s]
1370it [00:01, 1180.62it/s]
1494it [00:01, 1130.72it/s]
1612it [00:01, 1096.23it/s]
1725it [00:01, 1075.31it/s]
1850it [00:01, 1117.42it/s]
1970it [00:01, 1140.59it/s]
2102it [00:01, 1187.78it/s]
2233it [00:02, 1221.95it/s]
2359it [00:02, 1232.49it/s]
2484it [00:02, 1211.01it/s]
2618it [00:02, 1244.22it/s]
2750it [00:02, 1263.11it/s]
2887it [00:02, 1292.92it/s]
3021it [00:02, 1304.73it/s]
3157it [00:02, 1319.81it/s]
3290it [00:02, 1313.04it/s]
3437it [00:02, 1356.28it/s]
3574it [00:03, 1354.38it/s]
3719it [00:03, 1380.18it/s]
3858it [00:03, 1369.68it/s]
3999it [00:03, 1381.04it/s]
4138it [00:03, 1380.46it/s]
4277it [00:03, 1356.45it/s]
4413it [00:03, 1287.04it/s]
4555it [00:03, 1322.56it/s]
4693it [00:03, 1338.26it/s]
4834it [00:04, 1358.44it/s]
4971it [00:04, 1303.72it/s]
5103it [00:04, 1198.87it/s]
5226it [00:04, 1156.99it/s]
5344it [00:04, 1123.16it/s]
5458it [00:04, 1114.29it/s]
5571it [00:04, 1118.13it/s]
5693it [00:04, 1132.89it/s]
5814it [00:04, 1154.79it/s]
5939it [00:05, 1181.78it/s]
6062it [00:05, 1194.42it/s]
6185it [00:05, 1204.78it/s]
6311it [00:05, 1218.90it/s]
6434it [00:05, 1178.84it/s]
6553it [00:05, 1168.87it/s]
6681it [00:05, 1199.78it/s]
6815it [00:05, 1236.62it/s]
6945it [00:05, 1252.63it/s]
7074it [00:05, 1262.11it/s]
7205it [00:06, 1275.12it/s]
7343it [00:06, 1283.27it/s]
7488it [00:06, 1327.97it/s]
7622it [00:06, 1310.33it/s]
7754it [00:06, 1303.91it/s]
7905it [00:06, 1322.47it/s]
8039it [00:06, 1327.57it/s]
8178it [00:06, 1343.81it/s]
8313it [00:06, 1318.97it/s]
8446it [00:06, 1321.34it/s]
8579it [00:07, 1307.00it/s]
8710it [00:07, 1302.10it/s]
8842it [00:07, 1306.26it/s]
8973it [00:07, 1303.73it/s]
9104it [00:07, 1296.84it/s]
9234it [00:07, 1271.39it/s]
9372it [00:07, 1300.18it/s]
9503it [00:07, 1301.14it/s]
9634it [00:07, 1256.96it/s]
9761it [00:08, 1201.71it/s]
9883it [00:08, 1194.86it/s]
10004it [00:08, 1195.68it/s]
10143it [00:08, 1247.44it/s]
10269it [00:08, 1238.40it/s]
10394it [00:08, 1214.95it/s]
10517it [00:08, 1217.25it/s]
10640it [00:08, 1190.76it/s]
10760it [00:08, 1157.81it/s]
10893it [00:08, 1204.38it/s]
11029it [00:09, 1218.10it/s]
11152it [00:09, 1172.55it/s]
11298it [00:09, 1244.30it/s]
11435it [00:09, 1242.99it/s]
11584it [00:09, 1306.41it/s]
11717it [00:09, 1302.59it/s]
11849it [00:09, 1286.09it/s]
11979it [00:09, 1288.29it/s]
12120it [00:09, 1321.24it/s]
12271it [00:09, 1372.16it/s]
12410it [00:10, 1320.95it/s]
12544it [00:10, 1301.31it/s]
12675it [00:10, 1298.59it/s]
12806it [00:10, 1296.16it/s]
12941it [00:10, 1311.61it/s]
13079it [00:10, 1330.00it/s]
13213it [00:10, 1331.28it/s]
13347it [00:10, 1325.19it/s]
13480it [00:10, 1323.28it/s]
13614it [00:11, 1327.06it/s]
13747it [00:11, 1320.81it/s]
13880it [00:11, 1310.45it/s]
14016it [00:11, 1322.07it/s]
14156it [00:11, 1343.04it/s]
14296it [00:11, 1358.83it/s]
14436it [00:11, 1369.80it/s]
14577it [00:11, 1379.63it/s]
14718it [00:11, 1386.57it/s]
14858it [00:11, 1389.44it/s]
14997it [00:12, 1387.31it/s]
15136it [00:12, 1379.95it/s]
15275it [00:12, 1378.02it/s]
15413it [00:12, 1338.52it/s]
15548it [00:12, 1318.10it/s]
15681it [00:12, 1298.84it/s]
15812it [00:12, 1232.35it/s]
15952it [00:12, 1278.21it/s]
16099it [00:12, 1328.15it/s]
16235it [00:12, 1335.53it/s]
16380it [00:13, 1367.23it/s]
16518it [00:13, 1370.38it/s]
16656it [00:13, 1287.31it/s]
16793it [00:13, 1310.17it/s]
16933it [00:13, 1334.93it/s]
17068it [00:13, 1320.21it/s]
17207it [00:13, 1340.19it/s]
17360it [00:13, 1391.07it/s]
17500it [00:13, 1390.05it/s]
17640it [00:14, 1391.99it/s]
17780it [00:14, 1352.32it/s]
17916it [00:14, 1298.49it/s]
18059it [00:14, 1333.76it/s]
18202it [00:14, 1360.47it/s]
18345it [00:14, 1379.35it/s]
18497it [00:14, 1416.68it/s]
18640it [00:14, 1384.12it/s]
18795it [00:14, 1428.30it/s]
18939it [00:14, 1421.59it/s]
19082it [00:15, 1382.29it/s]
19223it [00:15, 1388.32it/s]
19364it [00:15, 1393.36it/s]
19508it [00:15, 1404.72it/s]
19652it [00:15, 1413.46it/s]
19794it [00:15, 1414.93it/s]
19936it [00:15, 1407.35it/s]
20077it [00:15, 1394.58it/s]
20221it [00:15, 1405.37it/s]
20362it [00:15, 1399.56it/s]
20503it [00:16, 1384.74it/s]
20642it [00:16, 1342.55it/s]
20782it [00:16, 1358.11it/s]
20919it [00:16, 1354.99it/s]
21061it [00:16, 1372.71it/s]
21207it [00:16, 1396.28it/s]
21347it [00:16, 1391.72it/s]
21493it [00:16, 1409.14it/s]
21639it [00:16, 1421.38it/s]
21782it [00:16, 1419.30it/s]
21925it [00:17, 1409.25it/s]
22067it [00:17, 1403.56it/s]
22208it [00:17, 1399.39it/s]
22348it [00:17, 1396.20it/s]
22488it [00:17, 1392.20it/s]
22631it [00:17, 1401.07it/s]
22772it [00:17, 1397.35it/s]
22912it [00:17, 1354.03it/s]
23053it [00:17, 1369.97it/s]
23193it [00:18, 1347.29it/s]
23341it [00:18, 1357.76it/s]
23489it [00:18, 1380.27it/s]
23632it [00:18, 1393.50it/s]
23789it [00:18, 1440.48it/s]
23934it [00:18, 1433.18it/s]
24078it [00:18, 1434.20it/s]
24222it [00:18, 1389.52it/s]
24362it [00:18, 1362.62it/s]
24508it [00:18, 1388.42it/s]
24650it [00:19, 1395.47it/s]
24795it [00:19, 1410.98it/s]
24940it [00:19, 1422.35it/s]
25083it [00:19, 1422.67it/s]
25243it [00:19, 1436.45it/s]
25387it [00:19, 1409.52it/s]
25529it [00:19, 1398.86it/s]
25676it [00:19, 1418.17it/s]
25818it [00:19, 1418.08it/s]
