
0it [00:00, ?it/s]
58it [00:00, 571.08it/s]
117it [00:00, 575.00it/s]
171it [00:00, 562.98it/s]
229it [00:00, 567.42it/s]
281it [00:00, 549.84it/s]
337it [00:00, 552.16it/s]
389it [00:00, 538.23it/s]
442it [00:00, 535.34it/s]
498it [00:00, 541.31it/s]
551it [00:01, 535.78it/s]
610it [00:01, 548.84it/s]
664it [00:01, 532.64it/s]
720it [00:01, 539.22it/s]
775it [00:01, 541.29it/s]
834it [00:01, 554.75it/s]
890it [00:01, 537.98it/s]
953it [00:01, 560.60it/s]
1013it [00:01, 571.34it/s]
1071it [00:01, 571.21it/s]
1129it [00:02, 565.04it/s]
1194it [00:02, 586.17it/s]
1253it [00:02, 583.97it/s]
1314it [00:02, 590.21it/s]
1374it [00:02, 562.47it/s]
1431it [00:02, 561.62it/s]
1490it [00:02, 569.60it/s]
1554it [00:02, 588.36it/s]
1614it [00:02, 585.64it/s]
1678it [00:02, 600.33it/s]
1739it [00:03, 599.67it/s]
1800it [00:03, 569.28it/s]
1863it [00:03, 584.06it/s]
1922it [00:03, 574.32it/s]
1980it [00:03, 567.06it/s]
2037it [00:03, 561.97it/s]
2094it [00:03, 535.95it/s]
2149it [00:03, 537.94it/s]
2204it [00:03, 534.08it/s]
2261it [00:04, 543.85it/s]
2318it [00:04, 548.91it/s]
2374it [00:04, 521.82it/s]
2427it [00:04, 501.33it/s]
2478it [00:04, 494.10it/s]
2528it [00:04, 487.57it/s]
2585it [00:04, 508.97it/s]
2640it [00:04, 519.75it/s]
2702it [00:04, 546.07it/s]
2758it [00:04, 541.30it/s]
2818it [00:05, 557.30it/s]
2875it [00:05, 556.13it/s]
2931it [00:05, 552.41it/s]
2987it [00:05, 534.93it/s]
3041it [00:05, 529.24it/s]
3101it [00:05, 533.53it/s]
3164it [00:05, 558.25it/s]
3221it [00:05, 550.28it/s]
3277it [00:05, 552.40it/s]
3333it [00:06, 540.23it/s]
3388it [00:06, 529.47it/s]
3445it [00:06, 539.44it/s]
3500it [00:06, 527.23it/s]
3553it [00:06, 515.17it/s]
3605it [00:06, 498.12it/s]
3657it [00:06, 503.01it/s]
3708it [00:06, 500.70it/s]
3759it [00:06, 479.03it/s]
3823it [00:07, 517.29it/s]
3876it [00:07, 438.27it/s]
3928it [00:07, 459.87it/s]
3977it [00:07, 465.94it/s]
4028it [00:07, 476.24it/s]
4077it [00:07, 450.56it/s]
4124it [00:07, 422.46it/s]
4168it [00:07, 399.00it/s]
4218it [00:07, 424.43it/s]
4267it [00:08, 440.67it/s]
4316it [00:08, 451.64it/s]
4362it [00:08, 431.34it/s]
4415it [00:08, 455.22it/s]
4470it [00:08, 478.85it/s]
4520it [00:08, 484.12it/s]
4576it [00:08, 502.42it/s]
4628it [00:08, 507.51it/s]
4680it [00:08, 506.85it/s]
4732it [00:08, 497.51it/s]
4790it [00:09, 517.83it/s]
4843it [00:09, 517.03it/s]
4899it [00:09, 528.24it/s]
4953it [00:09, 529.22it/s]
5011it [00:09, 541.35it/s]
5066it [00:09, 511.93it/s]
5118it [00:09, 467.59it/s]
5166it [00:09, 446.89it/s]
5212it [00:09, 421.08it/s]
5256it [00:10, 414.60it/s]
5301it [00:10, 423.08it/s]
5350it [00:10, 440.60it/s]
5395it [00:10, 436.45it/s]
5443it [00:10, 447.94it/s]
5489it [00:10, 443.80it/s]
5534it [00:10, 430.67it/s]
5580it [00:10, 436.70it/s]
5624it [00:10, 415.71it/s]
5666it [00:11, 389.23it/s]
5713it [00:11, 410.06it/s]
5765it [00:11, 437.62it/s]
5822it [00:11, 470.23it/s]
5871it [00:11, 475.67it/s]
5920it [00:11, 450.24it/s]
5969it [00:11, 461.02it/s]
6016it [00:11, 454.59it/s]
6075it [00:11, 487.87it/s]
6125it [00:11, 490.75it/s]
6176it [00:12, 493.86it/s]
6226it [00:12, 490.72it/s]
6286it [00:12, 518.03it/s]
6339it [00:12, 514.14it/s]
6391it [00:12, 490.21it/s]
6448it [00:12, 510.87it/s]
6515it [00:12, 548.52it/s]
6572it [00:12, 535.38it/s]
6628it [00:12, 540.49it/s]
6683it [00:13, 532.75it/s]
6739it [00:13, 539.64it/s]
6798it [00:13, 553.03it/s]
6854it [00:13, 540.06it/s]
6910it [00:13, 543.46it/s]
6965it [00:13, 492.77it/s]
7016it [00:13, 466.04it/s]
7064it [00:13, 434.41it/s]
7109it [00:13, 409.44it/s]
7161it [00:14, 436.70it/s]
7218it [00:14, 469.30it/s]
7268it [00:14, 476.70it/s]
7317it [00:14, 424.84it/s]
7362it [00:14, 405.23it/s]
7405it [00:14, 387.31it/s]
7449it [00:14, 400.44it/s]
7497it [00:14, 420.16it/s]
7544it [00:14, 433.90it/s]
7589it [00:15, 433.83it/s]
7635it [00:15, 438.73it/s]
7685it [00:15, 454.56it/s]
7731it [00:15, 448.30it/s]
7777it [00:15, 444.89it/s]
7822it [00:15, 444.70it/s]
7867it [00:15, 434.29it/s]
7917it [00:15, 451.49it/s]
7963it [00:15, 450.67it/s]
8009it [00:16, 434.67it/s]
8059it [00:16, 451.20it/s]
8105it [00:16, 444.61it/s]
8158it [00:16, 466.67it/s]
8206it [00:16, 469.55it/s]
8254it [00:16, 461.19it/s]
8310it [00:16, 485.55it/s]
8360it [00:16, 483.95it/s]
8421it [00:16, 514.58it/s]
8476it [00:16, 522.82it/s]
8537it [00:17, 544.40it/s]
